tablename,indexname,indexdef
catering_requests,catering_requests_event_token_key,CREATE UNIQUE INDEX catering_requests_event_token_key ON public.catering_requests USING btree (event_token)
catering_requests,catering_requests_pkey,CREATE UNIQUE INDEX catering_requests_pkey ON public.catering_requests USING btree (id)
catering_requests,idx_catering_requests_access_code,CREATE UNIQUE INDEX idx_catering_requests_access_code ON public.catering_requests USING btree (access_code) WHERE (access_code IS NOT NULL)
catering_requests,idx_catering_requests_created,CREATE INDEX idx_catering_requests_created ON public.catering_requests USING btree (created_at DESC)
catering_requests,idx_catering_requests_event_token,CREATE INDEX idx_catering_requests_event_token ON public.catering_requests USING btree (event_token) WHERE (event_token IS NOT NULL)
catering_requests,idx_catering_requests_market,CREATE INDEX idx_catering_requests_market ON public.catering_requests USING btree (market_id) WHERE (market_id IS NOT NULL)
catering_requests,idx_catering_requests_organizer,CREATE INDEX idx_catering_requests_organizer ON public.catering_requests USING btree (organizer_user_id) WHERE (organizer_user_id IS NOT NULL)
catering_requests,idx_catering_requests_status,CREATE INDEX idx_catering_requests_status ON public.catering_requests USING btree (status)
catering_requests,idx_catering_requests_status_created,"CREATE INDEX idx_catering_requests_status_created ON public.catering_requests USING btree (status, created_at DESC)"
cause_beneficiaries,cause_beneficiaries_pkey,CREATE UNIQUE INDEX cause_beneficiaries_pkey ON public.cause_beneficiaries USING btree (id)
cause_beneficiaries,uq_cause_beneficiaries_onboarding_token,CREATE UNIQUE INDEX uq_cause_beneficiaries_onboarding_token ON public.cause_beneficiaries USING btree (onboarding_token) WHERE (onboarding_token IS NOT NULL)
cause_campaigns,cause_campaigns_pkey,CREATE UNIQUE INDEX cause_campaigns_pkey ON public.cause_campaigns USING btree (id)
cause_campaigns,idx_cause_campaigns_active_window,"CREATE INDEX idx_cause_campaigns_active_window ON public.cause_campaigns USING btree (active, starts_at, ends_at)"
cause_ledger,cause_ledger_pkey,CREATE UNIQUE INDEX cause_ledger_pkey ON public.cause_ledger USING btree (id)
cause_ledger,idx_cause_ledger_beneficiary,"CREATE INDEX idx_cause_ledger_beneficiary ON public.cause_ledger USING btree (beneficiary_id, type)"
cause_ledger,uq_cause_ledger_collected_order,CREATE UNIQUE INDEX uq_cause_ledger_collected_order ON public.cause_ledger USING btree (order_id) WHERE ((type = 'collected'::text) AND (order_id IS NOT NULL))
cause_remittances,cause_remittances_pkey,CREATE UNIQUE INDEX cause_remittances_pkey ON public.cause_remittances USING btree (id)
cause_remittances,idx_cause_remittances_beneficiary,"CREATE INDEX idx_cause_remittances_beneficiary ON public.cause_remittances USING btree (beneficiary_id, status)"
email_events,email_events_pkey,CREATE UNIQUE INDEX email_events_pkey ON public.email_events USING btree (id)
email_events,email_events_resend_event_id_key,CREATE UNIQUE INDEX email_events_resend_event_id_key ON public.email_events USING btree (resend_event_id)
email_events,idx_email_events_created,CREATE INDEX idx_email_events_created ON public.email_events USING btree (created_at DESC)
email_events,idx_email_events_email,CREATE INDEX idx_email_events_email ON public.email_events USING btree (email_to)
email_events,idx_email_events_type,CREATE INDEX idx_email_events_type ON public.email_events USING btree (event_type)
error_logs,error_logs_pkey,CREATE UNIQUE INDEX error_logs_pkey ON public.error_logs USING btree (id)
error_logs,idx_error_logs_code,CREATE INDEX idx_error_logs_code ON public.error_logs USING btree (error_code)
error_logs,idx_error_logs_created,CREATE INDEX idx_error_logs_created ON public.error_logs USING btree (created_at DESC)
error_logs,idx_error_logs_pg_code,CREATE INDEX idx_error_logs_pg_code ON public.error_logs USING btree (pg_code)
error_logs,idx_error_logs_route,CREATE INDEX idx_error_logs_route ON public.error_logs USING btree (route)
