trigger_name,table_name,event,timing,action_statement
order_items_updated_at,order_items,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
trg_251_order_items_buyer_ack_actor,order_items,UPDATE,BEFORE,EXECUTE FUNCTION guard_order_item_buyer_ack()
trg_auto_cancel_order,order_items,UPDATE,AFTER,EXECUTE FUNCTION auto_cancel_order_if_all_items_cancelled()
trigger_set_order_item_expiration,order_items,UPDATE,BEFORE,EXECUTE FUNCTION set_order_item_expiration()
trigger_set_order_item_expiration,order_items,INSERT,BEFORE,EXECUTE FUNCTION set_order_item_expiration()
trigger_update_vendor_rating_stats,order_ratings,UPDATE,AFTER,EXECUTE FUNCTION update_vendor_rating_stats()
trigger_update_vendor_rating_stats,order_ratings,INSERT,AFTER,EXECUTE FUNCTION update_vendor_rating_stats()
trigger_update_vendor_rating_stats,order_ratings,DELETE,AFTER,EXECUTE FUNCTION update_vendor_rating_stats()
orders_updated_at,orders,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
referral_credit_on_sale_trigger,orders,UPDATE,AFTER,EXECUTE FUNCTION award_referral_credit_on_first_sale()
trg_251_orders_status_actor,orders,UPDATE,BEFORE,EXECUTE FUNCTION guard_order_status_actor()
vendor_activity_order_trigger,orders,INSERT,AFTER,EXECUTE FUNCTION update_vendor_activity_on_order()
update_organizations_updated_at,organizations,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
trg_park_spot_booking_market,park_spot_bookings,INSERT,BEFORE,EXECUTE FUNCTION check_park_spot_booking_market()
trg_park_spot_booking_market,park_spot_bookings,UPDATE,BEFORE,EXECUTE FUNCTION check_park_spot_booking_market()
trg_park_spot_bookings_updated_at,park_spot_bookings,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
trg_park_spots_updated_at,park_spots,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
trg_park_standing_market,park_standing_reservations,INSERT,BEFORE,EXECUTE FUNCTION check_park_standing_market()
trg_park_standing_market,park_standing_reservations,UPDATE,BEFORE,EXECUTE FUNCTION check_park_standing_market()
trg_park_standing_updated_at,park_standing_reservations,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
trg_park_vendor_vetting_updated_at,park_vendor_vetting,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
payments_updated_at,payments,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
update_shopper_feedback_updated_at,shopper_feedback,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
trg_support_tickets_updated_at,support_tickets,UPDATE,BEFORE,EXECUTE FUNCTION update_support_tickets_updated_at()
notify_new_transaction,transactions,INSERT,AFTER,EXECUTE FUNCTION notify_transaction_status_change()
notify_transaction_status,transactions,UPDATE,AFTER,EXECUTE FUNCTION notify_transaction_status_change()
update_transactions_updated_at,transactions,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
trg_admin_auto_premium_tier,user_profiles,UPDATE,BEFORE,EXECUTE FUNCTION ensure_admin_premium_tier()
trg_admin_auto_premium_tier,user_profiles,INSERT,BEFORE,EXECUTE FUNCTION ensure_admin_premium_tier()
trg_clear_email_suppression,user_profiles,UPDATE,BEFORE,EXECUTE FUNCTION clear_email_suppression_on_change()
update_user_profiles_updated_at,user_profiles,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
trigger_update_vendor_fee_balance,vendor_fee_ledger,INSERT,AFTER,EXECUTE FUNCTION update_vendor_fee_balance()
trigger_update_vendor_fee_balance,vendor_fee_ledger,UPDATE,AFTER,EXECUTE FUNCTION update_vendor_fee_balance()
trigger_update_vendor_fee_balance,vendor_fee_ledger,DELETE,AFTER,EXECUTE FUNCTION update_vendor_fee_balance()
update_vendor_feedback_updated_at,vendor_feedback,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
set_vendor_leads_updated_at,vendor_leads,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
trg_check_vendor_schedule_conflict,vendor_market_schedules,INSERT,BEFORE,EXECUTE FUNCTION check_vendor_schedule_conflict()
trg_check_vendor_schedule_conflict,vendor_market_schedules,UPDATE,BEFORE,EXECUTE FUNCTION check_vendor_schedule_conflict()
update_vms_updated_at,vendor_market_schedules,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
vendor_payouts_updated_at,vendor_payouts,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
auto_create_vendor_verification_trigger,vendor_profiles,INSERT,AFTER,EXECUTE FUNCTION auto_create_vendor_verification()
set_default_vendor_tier_trigger,vendor_profiles,INSERT,BEFORE,EXECUTE FUNCTION set_default_vendor_tier()
track_vendor_status,vendor_profiles,UPDATE,AFTER,EXECUTE FUNCTION track_vendor_status_change()
trg_vlc_vendor_change,vendor_profiles,DELETE,AFTER,EXECUTE FUNCTION trg_refresh_vendor_location()
trg_vlc_vendor_change,vendor_profiles,UPDATE,AFTER,EXECUTE FUNCTION trg_refresh_vendor_location()
trg_vlc_vendor_change,vendor_profiles,INSERT,AFTER,EXECUTE FUNCTION trg_refresh_vendor_location()
update_vendor_profiles_updated_at,vendor_profiles,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
vendor_referral_code_trigger,vendor_profiles,INSERT,BEFORE,EXECUTE FUNCTION trigger_generate_referral_code()
sync_vendor_verification,vendor_verifications,UPDATE,AFTER,EXECUTE FUNCTION sync_verification_status()
update_vendor_verifications_updated_at,vendor_verifications,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
update_verticals_updated_at,verticals,UPDATE,BEFORE,EXECUTE FUNCTION update_updated_at_column()
trg_wbr_booth_unique,weekly_booth_rentals,UPDATE,BEFORE,EXECUTE FUNCTION check_booth_number_uniqueness()
trg_wbr_booth_unique,weekly_booth_rentals,INSERT,BEFORE,EXECUTE FUNCTION check_booth_number_uniqueness()
trg_wbr_inventory_market,weekly_booth_rentals,UPDATE,BEFORE,EXECUTE FUNCTION check_weekly_booth_rental_inventory_market()
trg_wbr_inventory_market,weekly_booth_rentals,INSERT,BEFORE,EXECUTE FUNCTION check_weekly_booth_rental_inventory_market()
trg_wbr_updated_at,weekly_booth_rentals,UPDATE,BEFORE,EXECUTE FUNCTION update_weekly_booth_rentals_updated_at()
