proname,args,owner
subscribe_to_market_box_if_capacity,"p_offering_id uuid, p_buyer_user_id uuid, p_order_id uuid, p_total_paid_cents integer, p_start_date date, p_term_weeks integer, p_stripe_payment_intent_id text, p_pickup_frequency text",application
subscribe_to_market_box_if_capacity,"p_offering_id uuid, p_buyer_user_id uuid, p_order_id uuid, p_total_paid_cents integer, p_start_date date, p_term_weeks integer, p_stripe_payment_intent_id text",application
sync_event_request_to_market,,application
sync_verification_status,,application
track_vendor_status_change,,application
trg_refresh_vendor_location,,application
trigger_cleanup_cart_on_schedule_change,,application
trigger_generate_referral_code,,application
update_error_reports_updated_at,,application
update_error_resolutions_updated_at,,application
update_market_booth_inventory_updated_at,,application
update_market_booth_placeholders_updated_at,,application
update_support_tickets_updated_at,,application
update_updated_at_column,,application
update_vendor_activity_on_listing,,application
update_vendor_activity_on_order,,application
update_vendor_fee_balance,,application
update_vendor_last_login,,application
update_vendor_rating_stats,,application
update_weekly_booth_rentals_updated_at,,application
user_buyer_order_ids,,application
user_is_subscription_buyer,sub_id uuid,application
user_is_subscription_vendor,sub_id uuid,application
user_owns_vendor,vendor_id uuid,application
user_vendor_market_ids,,application
user_vendor_order_ids,,application
user_vendor_profile_ids,,application
validate_cart_item_inventory,"p_listing_id uuid, p_quantity integer",application
validate_cart_item_market,"p_listing_id uuid, p_market_id uuid",application
validate_cart_item_schedule,"p_listing_id uuid, p_schedule_id uuid, p_pickup_date date",application
validate_pickup_slot_time,"p_vendor_profile_id uuid, p_market_id uuid, p_pickup_date date, p_pickup_time time without time zone",application
vendor_has_active_schedules,"p_vendor_profile_id uuid, p_market_id uuid",application
vendor_skip_week,"p_pickup_id uuid, p_reason text",application
_postgis_deprecate,"oldname text, newname text, version text",postgis
_postgis_index_extent,"tbl regclass, col text",postgis
_postgis_join_selectivity,"regclass, text, regclass, text, text",postgis
_postgis_pgsql_version,,postgis
_postgis_scripts_pgsql_version,,postgis
_postgis_selectivity,"tbl regclass, att_name text, geom geometry, mode text",postgis
_postgis_stats,"tbl regclass, att_name text, text",postgis
_st_3ddfullywithin,"geom1 geometry, geom2 geometry, double precision",postgis
_st_3ddwithin,"geom1 geometry, geom2 geometry, double precision",postgis
_st_3dintersects,"geom1 geometry, geom2 geometry",postgis
_st_asgml,"integer, geometry, integer, integer, text, text",postgis
_st_asx3d,"integer, geometry, integer, integer, text",postgis
_st_bestsrid,"geography, geography",postgis
_st_bestsrid,geography,postgis
_st_contains,"geom1 geometry, geom2 geometry",postgis
_st_containsproperly,"geom1 geometry, geom2 geometry",postgis
_st_coveredby,"geom1 geometry, geom2 geometry",postgis
_st_coveredby,"geog1 geography, geog2 geography",postgis
_st_covers,"geog1 geography, geog2 geography",postgis
_st_covers,"geom1 geometry, geom2 geometry",postgis
_st_crosses,"geom1 geometry, geom2 geometry",postgis
_st_dfullywithin,"geom1 geometry, geom2 geometry, double precision",postgis
_st_distancetree,"geography, geography",postgis
_st_distancetree,"geography, geography, double precision, boolean",postgis
_st_distanceuncached,"geography, geography, double precision, boolean",postgis
_st_distanceuncached,"geography, geography",postgis
_st_distanceuncached,"geography, geography, boolean",postgis
_st_dwithin,"geom1 geometry, geom2 geometry, double precision",postgis
_st_dwithin,"geog1 geography, geog2 geography, tolerance double precision, use_spheroid boolean",postgis
_st_dwithinuncached,"geography, geography, double precision, boolean",postgis
_st_dwithinuncached,"geography, geography, double precision",postgis
_st_equals,"geom1 geometry, geom2 geometry",postgis
_st_expand,"geography, double precision",postgis
_st_geomfromgml,"text, integer",postgis
_st_intersects,"geom1 geometry, geom2 geometry",postgis
_st_linecrossingdirection,"line1 geometry, line2 geometry",postgis
_st_longestline,"geom1 geometry, geom2 geometry",postgis
_st_maxdistance,"geom1 geometry, geom2 geometry",postgis
_st_orderingequals,"geom1 geometry, geom2 geometry",postgis
_st_overlaps,"geom1 geometry, geom2 geometry",postgis
_st_pointoutside,geography,postgis
_st_sortablehash,geom geometry,postgis
_st_touches,"geom1 geometry, geom2 geometry",postgis
_st_voronoi,"g1 geometry, clip geometry, tolerance double precision, return_polygons boolean",postgis
_st_within,"geom1 geometry, geom2 geometry",postgis
addauth,text,postgis
addgeometrycolumn,"schema_name character varying, table_name character varying, column_name character varying, new_srid integer, new_type character varying, new_dim integer, use_typmod boolean",postgis
addgeometrycolumn,"table_name character varying, column_name character varying, new_srid integer, new_type character varying, new_dim integer, use_typmod boolean",postgis
addgeometrycolumn,"catalog_name character varying, schema_name character varying, table_name character varying, column_name character varying, new_srid_in integer, new_type character varying, new_dim integer, use_typmod boolean",postgis
box,box3d,postgis
box,geometry,postgis
box2d,box3d,postgis
box2d,geometry,postgis
box2d_in,cstring,postgis
box2d_out,box2d,postgis
box2df_in,cstring,postgis
box2df_out,box2df,postgis
box3d,geometry,postgis
box3d,box2d,postgis
box3d_in,cstring,postgis
box3d_out,box3d,postgis
box3dtobox,box3d,postgis
bytea,geometry,postgis
bytea,geography,postgis
checkauth,"text, text",postgis
