proname,args,owner
st_distancecpa,"geometry, geometry",postgis
st_distancesphere,"geom1 geometry, geom2 geometry, radius double precision",postgis
st_distancesphere,"geom1 geometry, geom2 geometry",postgis
st_distancespheroid,"geom1 geometry, geom2 geometry",postgis
st_distancespheroid,"geom1 geometry, geom2 geometry, spheroid",postgis
st_dump,geometry,postgis
st_dumppoints,geometry,postgis
st_dumprings,geometry,postgis
st_dumpsegments,geometry,postgis
st_dwithin,"geog1 geography, geog2 geography, tolerance double precision, use_spheroid boolean",postgis
st_dwithin,"geom1 geometry, geom2 geometry, double precision",postgis
st_dwithin,"text, text, double precision",postgis
st_endpoint,geometry,postgis
st_envelope,geometry,postgis
st_equals,"geom1 geometry, geom2 geometry",postgis
st_estimatedextent,"text, text, text, boolean",postgis
st_estimatedextent,"text, text, text",postgis
st_estimatedextent,"text, text",postgis
st_expand,"box2d, double precision",postgis
st_expand,"geometry, double precision",postgis
st_expand,"box box3d, dx double precision, dy double precision, dz double precision",postgis
st_expand,"box box2d, dx double precision, dy double precision",postgis
st_expand,"geom geometry, dx double precision, dy double precision, dz double precision, dm double precision",postgis
st_expand,"box3d, double precision",postgis
st_exteriorring,geometry,postgis
st_filterbym,"geometry, double precision, double precision, boolean",postgis
st_findextent,"text, text",postgis
st_findextent,"text, text, text",postgis
st_flipcoordinates,geometry,postgis
st_force2d,geometry,postgis
st_force3d,"geom geometry, zvalue double precision",postgis
st_force3dm,"geom geometry, mvalue double precision",postgis
st_force3dz,"geom geometry, zvalue double precision",postgis
st_force4d,"geom geometry, zvalue double precision, mvalue double precision",postgis
st_forcecollection,geometry,postgis
st_forcecurve,geometry,postgis
st_forcepolygonccw,geometry,postgis
st_forcepolygoncw,geometry,postgis
st_forcerhr,geometry,postgis
st_forcesfs,"geometry, version text",postgis
st_forcesfs,geometry,postgis
st_frechetdistance,"geom1 geometry, geom2 geometry, double precision",postgis
st_fromflatgeobuf,"anyelement, bytea",postgis
st_fromflatgeobuftotable,"text, text, bytea",postgis
st_generatepoints,"area geometry, npoints integer, seed integer",postgis
st_generatepoints,"area geometry, npoints integer",postgis
st_geogfromtext,text,postgis
st_geogfromwkb,bytea,postgis
st_geographyfromtext,text,postgis
st_geohash,"geom geometry, maxchars integer",postgis
st_geohash,"geog geography, maxchars integer",postgis
st_geomcollfromtext,text,postgis
st_geomcollfromtext,"text, integer",postgis
st_geomcollfromwkb,"bytea, integer",postgis
st_geomcollfromwkb,bytea,postgis
st_geometricmedian,"g geometry, tolerance double precision, max_iter integer, fail_if_not_converged boolean",postgis
st_geometryfromtext,"text, integer",postgis
st_geometryfromtext,text,postgis
st_geometryn,"geometry, integer",postgis
st_geometrytype,geometry,postgis
st_geomfromewkb,bytea,postgis
st_geomfromewkt,text,postgis
st_geomfromgeohash,"text, integer",postgis
st_geomfromgeojson,jsonb,postgis
st_geomfromgeojson,json,postgis
st_geomfromgeojson,text,postgis
st_geomfromgml,"text, integer",postgis
st_geomfromgml,text,postgis
st_geomfromkml,text,postgis
st_geomfrommarc21,marc21xml text,postgis
st_geomfromtext,text,postgis
st_geomfromtext,"text, integer",postgis
st_geomfromtwkb,bytea,postgis
st_geomfromwkb,"bytea, integer",postgis
st_geomfromwkb,bytea,postgis
st_gmltosql,text,postgis
st_gmltosql,"text, integer",postgis
st_hasarc,geometry geometry,postgis
st_hausdorffdistance,"geom1 geometry, geom2 geometry",postgis
st_hausdorffdistance,"geom1 geometry, geom2 geometry, double precision",postgis
st_hexagon,"size double precision, cell_i integer, cell_j integer, origin geometry",postgis
st_hexagongrid,"size double precision, bounds geometry, OUT geom geometry, OUT i integer, OUT j integer",postgis
st_interiorringn,"geometry, integer",postgis
st_interpolatepoint,"line geometry, point geometry",postgis
st_intersection,"text, text",postgis
st_intersection,"geography, geography",postgis
st_intersection,"geom1 geometry, geom2 geometry, gridsize double precision",postgis
st_intersects,"text, text",postgis
st_intersects,"geog1 geography, geog2 geography",postgis
st_intersects,"geom1 geometry, geom2 geometry",postgis
st_isclosed,geometry,postgis
st_iscollection,geometry,postgis
st_isempty,geometry,postgis
st_ispolygonccw,geometry,postgis
st_ispolygoncw,geometry,postgis
st_isring,geometry,postgis
st_issimple,geometry,postgis
st_isvalid,geometry,postgis
st_isvalid,"geometry, integer",postgis
st_isvaliddetail,"geom geometry, flags integer",postgis
st_isvalidreason,geometry,postgis
st_isvalidreason,"geometry, integer",postgis
st_isvalidtrajectory,geometry,postgis
st_length,text,postgis
st_length,"geog geography, use_spheroid boolean",postgis
st_length,geometry,postgis
st_length2d,geometry,postgis
st_length2dspheroid,"geometry, spheroid",postgis
st_lengthspheroid,"geometry, spheroid",postgis
st_letters,"letters text, font json",postgis
st_linecrossingdirection,"line1 geometry, line2 geometry",postgis
st_linefromencodedpolyline,"txtin text, nprecision integer",postgis
st_linefrommultipoint,geometry,postgis
st_linefromtext,text,postgis
st_linefromtext,"text, integer",postgis
st_linefromwkb,"bytea, integer",postgis
st_linefromwkb,bytea,postgis
st_lineinterpolatepoint,"geometry, double precision",postgis
st_lineinterpolatepoints,"geometry, double precision, repeat boolean",postgis
st_linelocatepoint,"geom1 geometry, geom2 geometry",postgis
st_linemerge,geometry,postgis
st_linemerge,"geometry, boolean",postgis
st_linestringfromwkb,bytea,postgis
st_linestringfromwkb,"bytea, integer",postgis
st_linesubstring,"geometry, double precision, double precision",postgis
st_linetocurve,geometry geometry,postgis
st_locatealong,"geometry geometry, measure double precision, leftrightoffset double precision",postgis
st_locatebetween,"geometry geometry, frommeasure double precision, tomeasure double precision, leftrightoffset double precision",postgis
st_locatebetweenelevations,"geometry geometry, fromelevation double precision, toelevation double precision",postgis
st_longestline,"geom1 geometry, geom2 geometry",postgis
st_m,geometry,postgis
st_makebox2d,"geom1 geometry, geom2 geometry",postgis
st_makeenvelope,"double precision, double precision, double precision, double precision, integer",postgis
st_makeline,"geom1 geometry, geom2 geometry",postgis
st_makeline,geometry[],postgis
st_makepoint,"double precision, double precision",postgis
st_makepoint,"double precision, double precision, double precision, double precision",postgis
st_makepoint,"double precision, double precision, double precision",postgis
st_makepointm,"double precision, double precision, double precision",postgis
st_makepolygon,geometry,postgis
st_makepolygon,"geometry, geometry[]",postgis
st_makevalid,"geom geometry, params text",postgis
st_makevalid,geometry,postgis
st_maxdistance,"geom1 geometry, geom2 geometry",postgis
st_maximuminscribedcircle,"geometry, OUT center geometry, OUT nearest geometry, OUT radius double precision",postgis
st_memsize,geometry,postgis
st_minimumboundingcircle,"inputgeom geometry, segs_per_quarter integer",postgis
st_minimumboundingradius,"geometry, OUT center geometry, OUT radius double precision",postgis
st_minimumclearance,geometry,postgis
st_minimumclearanceline,geometry,postgis
st_mlinefromtext,text,postgis
st_mlinefromtext,"text, integer",postgis
st_mlinefromwkb,"bytea, integer",postgis
st_mlinefromwkb,bytea,postgis
st_mpointfromtext,text,postgis
st_mpointfromtext,"text, integer",postgis
st_mpointfromwkb,bytea,postgis
st_mpointfromwkb,"bytea, integer",postgis
st_mpolyfromtext,"text, integer",postgis
st_mpolyfromtext,text,postgis
st_mpolyfromwkb,"bytea, integer",postgis
st_mpolyfromwkb,bytea,postgis
st_multi,geometry,postgis
st_multilinefromwkb,bytea,postgis
st_multilinestringfromtext,"text, integer",postgis
st_multilinestringfromtext,text,postgis
st_multipointfromtext,text,postgis
st_multipointfromwkb,"bytea, integer",postgis
st_multipointfromwkb,bytea,postgis
st_multipolyfromwkb,"bytea, integer",postgis
st_multipolyfromwkb,bytea,postgis
st_multipolygonfromtext,"text, integer",postgis
st_multipolygonfromtext,text,postgis
st_ndims,geometry,postgis
st_node,g geometry,postgis
st_normalize,geom geometry,postgis
st_npoints,geometry,postgis
st_nrings,geometry,postgis
st_numgeometries,geometry,postgis
st_numinteriorring,geometry,postgis
st_numinteriorrings,geometry,postgis
st_numpatches,geometry,postgis
st_numpoints,geometry,postgis
st_offsetcurve,"line geometry, distance double precision, params text",postgis
st_orderingequals,"geom1 geometry, geom2 geometry",postgis
st_orientedenvelope,geometry,postgis
st_overlaps,"geom1 geometry, geom2 geometry",postgis
st_patchn,"geometry, integer",postgis
st_perimeter,geometry,postgis
st_perimeter,"geog geography, use_spheroid boolean",postgis
st_perimeter2d,geometry,postgis
st_point,"double precision, double precision",postgis
st_point,"double precision, double precision, srid integer",postgis
st_pointfromgeohash,"text, integer",postgis
st_pointfromtext,"text, integer",postgis
st_pointfromtext,text,postgis
st_pointfromwkb,bytea,postgis
st_pointfromwkb,"bytea, integer",postgis
st_pointinsidecircle,"geometry, double precision, double precision, double precision",postgis
st_pointm,"xcoordinate double precision, ycoordinate double precision, mcoordinate double precision, srid integer",postgis
st_pointn,"geometry, integer",postgis
st_pointonsurface,geometry,postgis
st_points,geometry,postgis
st_pointz,"xcoordinate double precision, ycoordinate double precision, zcoordinate double precision, srid integer",postgis
st_pointzm,"xcoordinate double precision, ycoordinate double precision, zcoordinate double precision, mcoordinate double precision, srid integer",postgis
st_polyfromtext,text,postgis
st_polyfromtext,"text, integer",postgis
st_polyfromwkb,"bytea, integer",postgis
st_polyfromwkb,bytea,postgis
st_polygon,"geometry, integer",postgis
st_polygonfromtext,"text, integer",postgis
st_polygonfromtext,text,postgis
st_polygonfromwkb,"bytea, integer",postgis
st_polygonfromwkb,bytea,postgis
st_polygonize,geometry[],postgis
st_project,"geog geography, distance double precision, azimuth double precision",postgis
st_quantizecoordinates,"g geometry, prec_x integer, prec_y integer, prec_z integer, prec_m integer",postgis
st_reduceprecision,"geom geometry, gridsize double precision",postgis
st_relate,"geom1 geometry, geom2 geometry, integer",postgis
st_relate,"geom1 geometry, geom2 geometry",postgis
st_relate,"geom1 geometry, geom2 geometry, text",postgis
st_relatematch,"text, text",postgis
st_removepoint,"geometry, integer",postgis
st_removerepeatedpoints,"geom geometry, tolerance double precision",postgis
st_reverse,geometry,postgis
st_rotate,"geometry, double precision, geometry",postgis
st_rotate,"geometry, double precision, double precision, double precision",postgis
st_rotate,"geometry, double precision",postgis
st_rotatex,"geometry, double precision",postgis
st_rotatey,"geometry, double precision",postgis
st_rotatez,"geometry, double precision",postgis
st_scale,"geometry, double precision, double precision, double precision",postgis
st_scale,"geometry, double precision, double precision",postgis
st_scale,"geometry, geometry, origin geometry",postgis
st_scale,"geometry, geometry",postgis
st_scroll,"geometry, geometry",postgis
st_segmentize,"geog geography, max_segment_length double precision",postgis
st_segmentize,"geometry, double precision",postgis
st_seteffectivearea,"geometry, double precision, integer",postgis
st_setpoint,"geometry, integer, geometry",postgis
st_setsrid,"geom geometry, srid integer",postgis
st_setsrid,"geog geography, srid integer",postgis
st_sharedpaths,"geom1 geometry, geom2 geometry",postgis
st_shiftlongitude,geometry,postgis
st_shortestline,"geom1 geometry, geom2 geometry",postgis
st_simplify,"geometry, double precision",postgis
st_simplify,"geometry, double precision, boolean",postgis
st_simplifypolygonhull,"geom geometry, vertex_fraction double precision, is_outer boolean",postgis
st_simplifypreservetopology,"geometry, double precision",postgis
st_simplifyvw,"geometry, double precision",postgis
st_snap,"geom1 geometry, geom2 geometry, double precision",postgis
st_snaptogrid,"geometry, double precision",postgis
st_snaptogrid,"geom1 geometry, geom2 geometry, double precision, double precision, double precision, double precision",postgis
st_snaptogrid,"geometry, double precision, double precision, double precision, double precision",postgis
st_snaptogrid,"geometry, double precision, double precision",postgis
st_split,"geom1 geometry, geom2 geometry",postgis
st_square,"size double precision, cell_i integer, cell_j integer, origin geometry",postgis
st_squaregrid,"size double precision, bounds geometry, OUT geom geometry, OUT i integer, OUT j integer",postgis
st_srid,geog geography,postgis
st_srid,geom geometry,postgis
st_startpoint,geometry,postgis
st_subdivide,"geom geometry, maxvertices integer, gridsize double precision",postgis
st_summary,geography,postgis
st_summary,geometry,postgis
st_swapordinates,"geom geometry, ords cstring",postgis
st_symdifference,"geom1 geometry, geom2 geometry, gridsize double precision",postgis
st_symmetricdifference,"geom1 geometry, geom2 geometry",postgis
st_tileenvelope,"zoom integer, x integer, y integer, bounds geometry, margin double precision",postgis
st_touches,"geom1 geometry, geom2 geometry",postgis
st_transform,"geometry, integer",postgis
st_transform,"geom geometry, to_proj text",postgis
st_transform,"geom geometry, from_proj text, to_proj text",postgis
st_transform,"geom geometry, from_proj text, to_srid integer",postgis
st_translate,"geometry, double precision, double precision, double precision",postgis
st_translate,"geometry, double precision, double precision",postgis
st_transscale,"geometry, double precision, double precision, double precision, double precision",postgis
st_triangulatepolygon,g1 geometry,postgis
st_unaryunion,"geometry, gridsize double precision",postgis
st_union,"geom1 geometry, geom2 geometry, gridsize double precision",postgis
st_union,"geom1 geometry, geom2 geometry",postgis
st_union,geometry[],postgis
st_voronoilines,"g1 geometry, tolerance double precision, extend_to geometry",postgis
st_voronoipolygons,"g1 geometry, tolerance double precision, extend_to geometry",postgis
st_within,"geom1 geometry, geom2 geometry",postgis
st_wkbtosql,wkb bytea,postgis
st_wkttosql,text,postgis
st_wrapx,"geom geometry, wrap double precision, move double precision",postgis
st_x,geometry,postgis
st_xmax,box3d,postgis
st_xmin,box3d,postgis
st_y,geometry,postgis
st_ymax,box3d,postgis
st_ymin,box3d,postgis
st_z,geometry,postgis
st_zmax,box3d,postgis
st_zmflag,geometry,postgis
st_zmin,box3d,postgis
text,geometry,postgis
unlockrows,text,postgis
updategeometrysrid,"character varying, character varying, character varying, integer",postgis
updategeometrysrid,"catalogn_name character varying, schema_name character varying, table_name character varying, column_name character varying, new_srid_in integer",postgis
updategeometrysrid,"character varying, character varying, integer",postgis
