function_name,arguments,return_type,security
pgis_asgeobuf_transfn,"internal, anyelement",internal,SECURITY INVOKER
pgis_asmvt_combinefn,"internal, internal",internal,SECURITY INVOKER
pgis_asmvt_deserialfn,"bytea, internal",internal,SECURITY INVOKER
pgis_asmvt_finalfn,internal,bytea,SECURITY INVOKER
pgis_asmvt_serialfn,internal,bytea,SECURITY INVOKER
pgis_asmvt_transfn,"internal, anyelement",internal,SECURITY INVOKER
pgis_asmvt_transfn,"internal, anyelement, text",internal,SECURITY INVOKER
pgis_asmvt_transfn,"internal, anyelement, text, integer",internal,SECURITY INVOKER
pgis_asmvt_transfn,"internal, anyelement, text, integer, text",internal,SECURITY INVOKER
pgis_asmvt_transfn,"internal, anyelement, text, integer, text, text",internal,SECURITY INVOKER
pgis_geometry_accum_transfn,"internal, geometry",internal,SECURITY INVOKER
pgis_geometry_accum_transfn,"internal, geometry, double precision, integer",internal,SECURITY INVOKER
pgis_geometry_accum_transfn,"internal, geometry, double precision",internal,SECURITY INVOKER
pgis_geometry_clusterintersecting_finalfn,internal,geometry[],SECURITY INVOKER
pgis_geometry_clusterwithin_finalfn,internal,geometry[],SECURITY INVOKER
pgis_geometry_collect_finalfn,internal,geometry,SECURITY INVOKER
pgis_geometry_makeline_finalfn,internal,geometry,SECURITY INVOKER
pgis_geometry_polygonize_finalfn,internal,geometry,SECURITY INVOKER
pgis_geometry_union_parallel_combinefn,"internal, internal",internal,SECURITY INVOKER
pgis_geometry_union_parallel_deserialfn,"bytea, internal",internal,SECURITY INVOKER
pgis_geometry_union_parallel_finalfn,internal,geometry,SECURITY INVOKER
pgis_geometry_union_parallel_serialfn,internal,bytea,SECURITY INVOKER
pgis_geometry_union_parallel_transfn,"internal, geometry",internal,SECURITY INVOKER
pgis_geometry_union_parallel_transfn,"internal, geometry, double precision",internal,SECURITY INVOKER
point,geometry,point,SECURITY INVOKER
polygon,geometry,polygon,SECURITY INVOKER
populate_geometry_columns,use_typmod boolean DEFAULT true,text,SECURITY INVOKER
populate_geometry_columns,"tbl_oid oid, use_typmod boolean DEFAULT true",integer,SECURITY INVOKER
postgis_addbbox,geometry,geometry,SECURITY INVOKER
postgis_cache_bbox,,trigger,SECURITY INVOKER
postgis_constraint_dims,"geomschema text, geomtable text, geomcolumn text",integer,SECURITY INVOKER
postgis_constraint_srid,"geomschema text, geomtable text, geomcolumn text",integer,SECURITY INVOKER
postgis_constraint_type,"geomschema text, geomtable text, geomcolumn text",character varying,SECURITY INVOKER
postgis_dropbbox,geometry,geometry,SECURITY INVOKER
postgis_extensions_upgrade,,text,SECURITY INVOKER
postgis_full_version,,text,SECURITY INVOKER
postgis_geos_noop,geometry,geometry,SECURITY INVOKER
postgis_geos_version,,text,SECURITY INVOKER
postgis_getbbox,geometry,box2d,SECURITY INVOKER
postgis_hasbbox,geometry,boolean,SECURITY INVOKER
postgis_index_supportfn,internal,internal,SECURITY INVOKER
postgis_lib_build_date,,text,SECURITY INVOKER
postgis_lib_revision,,text,SECURITY INVOKER
postgis_lib_version,,text,SECURITY INVOKER
postgis_libjson_version,,text,SECURITY INVOKER
postgis_liblwgeom_version,,text,SECURITY INVOKER
postgis_libprotobuf_version,,text,SECURITY INVOKER
postgis_libxml_version,,text,SECURITY INVOKER
postgis_noop,geometry,geometry,SECURITY INVOKER
postgis_proj_version,,text,SECURITY INVOKER
postgis_scripts_build_date,,text,SECURITY INVOKER
postgis_scripts_installed,,text,SECURITY INVOKER
postgis_scripts_released,,text,SECURITY INVOKER
postgis_svn_version,,text,SECURITY INVOKER
postgis_transform_geometry,"geom geometry, text, text, integer",geometry,SECURITY INVOKER
postgis_type_name,"geomname character varying, coord_dimension integer, use_new_name boolean DEFAULT true",character varying,SECURITY INVOKER
postgis_typmod_dims,integer,integer,SECURITY INVOKER
postgis_typmod_srid,integer,integer,SECURITY INVOKER
postgis_typmod_type,integer,text,SECURITY INVOKER
postgis_version,,text,SECURITY INVOKER
postgis_wagyu_version,,text,SECURITY INVOKER
recalculate_wave_capacity,p_market_id uuid,"TABLE(waves_updated integer, new_capacity integer)",SECURITY DEFINER
redeem_booth_credit,"p_vendor_profile_id uuid, p_market_id uuid, p_group_id uuid, p_requested_cents integer, p_rental_id uuid DEFAULT NULL::uuid, p_park_booking_id uuid DEFAULT NULL::uuid",integer,SECURITY DEFINER
refresh_all_vendor_locations,,void,SECURITY DEFINER
refresh_vendor_location,p_vendor_id uuid,void,SECURITY DEFINER
replace_market_optin_selections,"p_market_id uuid, p_selections jsonb","TABLE(selection_id uuid, selection_market_id uuid, selection_statement_id text, selection_placeholder_values jsonb, selection_selected_at timestamp with time zone)",SECURITY DEFINER
reserve_event_wave,"p_wave_id uuid, p_market_id uuid, p_user_id uuid","TABLE(success boolean, reservation_id uuid, error text)",SECURITY DEFINER
scan_vendor_activity,p_vertical_id text DEFAULT NULL::text,"TABLE(scan_id uuid, vendors_scanned integer, new_flags integer, auto_resolved integer)",SECURITY DEFINER
set_default_vendor_tier,,trigger,SECURITY INVOKER
set_ft_default_tier,,trigger,SECURITY INVOKER
set_listing_premium_window,,trigger,SECURITY DEFINER
set_market_box_premium_window,,trigger,SECURITY DEFINER
set_order_item_expiration,,trigger,SECURITY INVOKER
soft_delete,,trigger,SECURITY INVOKER
spheroid_in,cstring,spheroid,SECURITY INVOKER
spheroid_out,spheroid,cstring,SECURITY INVOKER
st_3dclosestpoint,"geom1 geometry, geom2 geometry",geometry,SECURITY INVOKER
st_3ddfullywithin,"geom1 geometry, geom2 geometry, double precision",boolean,SECURITY INVOKER
st_3ddistance,"geom1 geometry, geom2 geometry",double precision,SECURITY INVOKER
st_3ddwithin,"geom1 geometry, geom2 geometry, double precision",boolean,SECURITY INVOKER
st_3dintersects,"geom1 geometry, geom2 geometry",boolean,SECURITY INVOKER
st_3dlength,geometry,double precision,SECURITY INVOKER
st_3dlineinterpolatepoint,"geometry, double precision",geometry,SECURITY INVOKER
st_3dlongestline,"geom1 geometry, geom2 geometry",geometry,SECURITY INVOKER
st_3dmakebox,"geom1 geometry, geom2 geometry",box3d,SECURITY INVOKER
st_3dmaxdistance,"geom1 geometry, geom2 geometry",double precision,SECURITY INVOKER
st_3dperimeter,geometry,double precision,SECURITY INVOKER
st_3dshortestline,"geom1 geometry, geom2 geometry",geometry,SECURITY INVOKER
st_addmeasure,"geometry, double precision, double precision",geometry,SECURITY INVOKER
st_addpoint,"geom1 geometry, geom2 geometry, integer",geometry,SECURITY INVOKER
st_addpoint,"geom1 geometry, geom2 geometry",geometry,SECURITY INVOKER
st_affine,"geometry, double precision, double precision, double precision, double precision, double precision, double precision, double precision, double precision, double precision, double precision, double precision, double precision",geometry,SECURITY INVOKER
st_affine,"geometry, double precision, double precision, double precision, double precision, double precision, double precision",geometry,SECURITY INVOKER
st_angle,"line1 geometry, line2 geometry",double precision,SECURITY INVOKER
st_angle,"pt1 geometry, pt2 geometry, pt3 geometry, pt4 geometry DEFAULT '0101000000000000000000F87F000000000000F87F'::geometry",double precision,SECURITY INVOKER
st_area,"geog geography, use_spheroid boolean DEFAULT true",double precision,SECURITY INVOKER
st_area,text,double precision,SECURITY INVOKER
st_area,geometry,double precision,SECURITY INVOKER
st_area2d,geometry,double precision,SECURITY INVOKER
st_asbinary,geometry,bytea,SECURITY INVOKER
st_asbinary,"geometry, text",bytea,SECURITY INVOKER
st_asbinary,"geography, text",bytea,SECURITY INVOKER
st_asbinary,geography,bytea,SECURITY INVOKER
st_asencodedpolyline,"geom geometry, nprecision integer DEFAULT 5",text,SECURITY INVOKER
st_asewkb,"geometry, text",bytea,SECURITY INVOKER
st_asewkb,geometry,bytea,SECURITY INVOKER
st_asewkt,geometry,text,SECURITY INVOKER
st_asewkt,"geography, integer",text,SECURITY INVOKER
st_asewkt,geography,text,SECURITY INVOKER
st_asewkt,"geometry, integer",text,SECURITY INVOKER
st_asewkt,text,text,SECURITY INVOKER
st_asgeojson,"geom geometry, maxdecimaldigits integer DEFAULT 9, options integer DEFAULT 8",text,SECURITY INVOKER
st_asgeojson,text,text,SECURITY INVOKER
st_asgeojson,"geog geography, maxdecimaldigits integer DEFAULT 9, options integer DEFAULT 0",text,SECURITY INVOKER
st_asgeojson,"r record, geom_column text DEFAULT ''::text, maxdecimaldigits integer DEFAULT 9, pretty_bool boolean DEFAULT false",text,SECURITY INVOKER
st_asgml,"geom geometry, maxdecimaldigits integer DEFAULT 15, options integer DEFAULT 0",text,SECURITY INVOKER
st_asgml,"version integer, geom geometry, maxdecimaldigits integer DEFAULT 15, options integer DEFAULT 0, nprefix text DEFAULT NULL::text, id text DEFAULT NULL::text",text,SECURITY INVOKER
st_asgml,text,text,SECURITY INVOKER
st_asgml,"geog geography, maxdecimaldigits integer DEFAULT 15, options integer DEFAULT 0, nprefix text DEFAULT 'gml'::text, id text DEFAULT ''::text",text,SECURITY INVOKER
st_asgml,"version integer, geog geography, maxdecimaldigits integer DEFAULT 15, options integer DEFAULT 0, nprefix text DEFAULT 'gml'::text, id text DEFAULT ''::text",text,SECURITY INVOKER
st_ashexewkb,geometry,text,SECURITY INVOKER
st_ashexewkb,"geometry, text",text,SECURITY INVOKER
st_askml,"geog geography, maxdecimaldigits integer DEFAULT 15, nprefix text DEFAULT ''::text",text,SECURITY INVOKER
st_askml,"geom geometry, maxdecimaldigits integer DEFAULT 15, nprefix text DEFAULT ''::text",text,SECURITY INVOKER
st_askml,text,text,SECURITY INVOKER
st_aslatlontext,"geom geometry, tmpl text DEFAULT ''::text",text,SECURITY INVOKER
st_asmarc21,"geom geometry, format text DEFAULT 'hdddmmss'::text",text,SECURITY INVOKER
st_asmvtgeom,"geom geometry, bounds box2d, extent integer DEFAULT 4096, buffer integer DEFAULT 256, clip_geom boolean DEFAULT true",geometry,SECURITY INVOKER
st_assvg,"geog geography, rel integer DEFAULT 0, maxdecimaldigits integer DEFAULT 15",text,SECURITY INVOKER
st_assvg,"geom geometry, rel integer DEFAULT 0, maxdecimaldigits integer DEFAULT 15",text,SECURITY INVOKER
st_assvg,text,text,SECURITY INVOKER
st_astext,geography,text,SECURITY INVOKER
st_astext,geometry,text,SECURITY INVOKER
st_astext,"geometry, integer",text,SECURITY INVOKER
st_astext,text,text,SECURITY INVOKER
st_astext,"geography, integer",text,SECURITY INVOKER
st_astwkb,"geom geometry[], ids bigint[], prec integer DEFAULT NULL::integer, prec_z integer DEFAULT NULL::integer, prec_m integer DEFAULT NULL::integer, with_sizes boolean DEFAULT NULL::boolean, with_boxes boolean DEFAULT NULL::boolean",bytea,SECURITY INVOKER
st_astwkb,"geom geometry, prec integer DEFAULT NULL::integer, prec_z integer DEFAULT NULL::integer, prec_m integer DEFAULT NULL::integer, with_sizes boolean DEFAULT NULL::boolean, with_boxes boolean DEFAULT NULL::boolean",bytea,SECURITY INVOKER
st_asx3d,"geom geometry, maxdecimaldigits integer DEFAULT 15, options integer DEFAULT 0",text,SECURITY INVOKER
st_azimuth,"geom1 geometry, geom2 geometry",double precision,SECURITY INVOKER
st_azimuth,"geog1 geography, geog2 geography",double precision,SECURITY INVOKER
st_bdmpolyfromtext,"text, integer",geometry,SECURITY INVOKER
st_bdpolyfromtext,"text, integer",geometry,SECURITY INVOKER
st_boundary,geometry,geometry,SECURITY INVOKER
st_boundingdiagonal,"geom geometry, fits boolean DEFAULT false",geometry,SECURITY INVOKER
st_box2dfromgeohash,"text, integer DEFAULT NULL::integer",box2d,SECURITY INVOKER
st_buffer,"text, double precision",geometry,SECURITY INVOKER
st_buffer,"geom geometry, radius double precision, options text DEFAULT ''::text",geometry,SECURITY INVOKER
st_buffer,"geom geometry, radius double precision, quadsegs integer",geometry,SECURITY INVOKER
st_buffer,"geography, double precision",geography,SECURITY INVOKER
st_buffer,"geography, double precision, integer",geography,SECURITY INVOKER
st_buffer,"geography, double precision, text",geography,SECURITY INVOKER
st_buffer,"text, double precision, text",geometry,SECURITY INVOKER
st_buffer,"text, double precision, integer",geometry,SECURITY INVOKER
st_buildarea,geometry,geometry,SECURITY INVOKER
st_centroid,text,geometry,SECURITY INVOKER
st_centroid,"geography, use_spheroid boolean DEFAULT true",geography,SECURITY INVOKER
st_centroid,geometry,geometry,SECURITY INVOKER
st_chaikinsmoothing,"geometry, integer DEFAULT 1, boolean DEFAULT false",geometry,SECURITY INVOKER
st_cleangeometry,geometry,geometry,SECURITY INVOKER
st_clipbybox2d,"geom geometry, box box2d",geometry,SECURITY INVOKER
st_closestpoint,"geom1 geometry, geom2 geometry",geometry,SECURITY INVOKER
st_closestpointofapproach,"geometry, geometry",double precision,SECURITY INVOKER
st_clusterintersecting,geometry[],geometry[],SECURITY INVOKER
st_clusterwithin,"geometry[], double precision",geometry[],SECURITY INVOKER
st_collect,geometry[],geometry,SECURITY INVOKER
st_collect,"geom1 geometry, geom2 geometry",geometry,SECURITY INVOKER
st_collectionextract,"geometry, integer",geometry,SECURITY INVOKER
st_collectionextract,geometry,geometry,SECURITY INVOKER
st_collectionhomogenize,geometry,geometry,SECURITY INVOKER
st_combinebbox,"box2d, geometry",box2d,SECURITY INVOKER
st_combinebbox,"box3d, box3d",box3d,SECURITY INVOKER
st_combinebbox,"box3d, geometry",box3d,SECURITY INVOKER
st_concavehull,"param_geom geometry, param_pctconvex double precision, param_allow_holes boolean DEFAULT false",geometry,SECURITY INVOKER
st_contains,"geom1 geometry, geom2 geometry",boolean,SECURITY INVOKER
st_containsproperly,"geom1 geometry, geom2 geometry",boolean,SECURITY INVOKER
st_convexhull,geometry,geometry,SECURITY INVOKER
st_coorddim,geometry geometry,smallint,SECURITY INVOKER
st_coveredby,"text, text",boolean,SECURITY INVOKER
st_coveredby,"geom1 geometry, geom2 geometry",boolean,SECURITY INVOKER
st_coveredby,"geog1 geography, geog2 geography",boolean,SECURITY INVOKER
st_covers,"text, text",boolean,SECURITY INVOKER
st_covers,"geog1 geography, geog2 geography",boolean,SECURITY INVOKER
st_covers,"geom1 geometry, geom2 geometry",boolean,SECURITY INVOKER
st_cpawithin,"geometry, geometry, double precision",boolean,SECURITY INVOKER
st_crosses,"geom1 geometry, geom2 geometry",boolean,SECURITY INVOKER
st_curvetoline,"geom geometry, tol double precision DEFAULT 32, toltype integer DEFAULT 0, flags integer DEFAULT 0",geometry,SECURITY INVOKER
st_delaunaytriangles,"g1 geometry, tolerance double precision DEFAULT 0.0, flags integer DEFAULT 0",geometry,SECURITY INVOKER
st_dfullywithin,"geom1 geometry, geom2 geometry, double precision",boolean,SECURITY INVOKER
st_difference,"geom1 geometry, geom2 geometry, gridsize double precision DEFAULT '-1.0'::numeric",geometry,SECURITY INVOKER
st_dimension,geometry,integer,SECURITY INVOKER
st_disjoint,"geom1 geometry, geom2 geometry",boolean,SECURITY INVOKER
st_distance,"text, text",double precision,SECURITY INVOKER
st_distance,"geom1 geometry, geom2 geometry",double precision,SECURITY INVOKER
st_distance,"geog1 geography, geog2 geography, use_spheroid boolean DEFAULT true",double precision,SECURITY INVOKER
st_distancecpa,"geometry, geometry",double precision,SECURITY INVOKER
st_distancesphere,"geom1 geometry, geom2 geometry",double precision,SECURITY INVOKER
st_distancesphere,"geom1 geometry, geom2 geometry, radius double precision",double precision,SECURITY INVOKER
st_distancespheroid,"geom1 geometry, geom2 geometry",double precision,SECURITY INVOKER
st_distancespheroid,"geom1 geometry, geom2 geometry, spheroid",double precision,SECURITY INVOKER
st_dump,geometry,SETOF geometry_dump,SECURITY INVOKER
st_dumppoints,geometry,SETOF geometry_dump,SECURITY INVOKER
st_dumprings,geometry,SETOF geometry_dump,SECURITY INVOKER
st_dumpsegments,geometry,SETOF geometry_dump,SECURITY INVOKER
st_dwithin,"geom1 geometry, geom2 geometry, double precision",boolean,SECURITY INVOKER
st_dwithin,"geog1 geography, geog2 geography, tolerance double precision, use_spheroid boolean DEFAULT true",boolean,SECURITY INVOKER
st_dwithin,"text, text, double precision",boolean,SECURITY INVOKER
st_endpoint,geometry,geometry,SECURITY INVOKER
st_envelope,geometry,geometry,SECURITY INVOKER
st_equals,"geom1 geometry, geom2 geometry",boolean,SECURITY INVOKER
st_estimatedextent,"text, text",box2d,SECURITY DEFINER
st_estimatedextent,"text, text, text, boolean",box2d,SECURITY DEFINER
st_estimatedextent,"text, text, text",box2d,SECURITY DEFINER
st_expand,"geom geometry, dx double precision, dy double precision, dz double precision DEFAULT 0, dm double precision DEFAULT 0",geometry,SECURITY INVOKER
st_expand,"box box2d, dx double precision, dy double precision",box2d,SECURITY INVOKER
st_expand,"box2d, double precision",box2d,SECURITY INVOKER
st_expand,"box3d, double precision",box3d,SECURITY INVOKER
st_expand,"geometry, double precision",geometry,SECURITY INVOKER
st_expand,"box box3d, dx double precision, dy double precision, dz double precision DEFAULT 0",box3d,SECURITY INVOKER
st_exteriorring,geometry,geometry,SECURITY INVOKER
st_filterbym,"geometry, double precision, double precision DEFAULT NULL::double precision, boolean DEFAULT false",geometry,SECURITY INVOKER
st_findextent,"text, text",box2d,SECURITY INVOKER
st_findextent,"text, text, text",box2d,SECURITY INVOKER
st_flipcoordinates,geometry,geometry,SECURITY INVOKER
st_force2d,geometry,geometry,SECURITY INVOKER
st_force3d,"geom geometry, zvalue double precision DEFAULT 0.0",geometry,SECURITY INVOKER
st_force3dm,"geom geometry, mvalue double precision DEFAULT 0.0",geometry,SECURITY INVOKER
st_force3dz,"geom geometry, zvalue double precision DEFAULT 0.0",geometry,SECURITY INVOKER
st_force4d,"geom geometry, zvalue double precision DEFAULT 0.0, mvalue double precision DEFAULT 0.0",geometry,SECURITY INVOKER
st_forcecollection,geometry,geometry,SECURITY INVOKER
st_forcecurve,geometry,geometry,SECURITY INVOKER
st_forcepolygonccw,geometry,geometry,SECURITY INVOKER
st_forcepolygoncw,geometry,geometry,SECURITY INVOKER
st_forcerhr,geometry,geometry,SECURITY INVOKER
st_forcesfs,geometry,geometry,SECURITY INVOKER
st_forcesfs,"geometry, version text",geometry,SECURITY INVOKER
st_frechetdistance,"geom1 geometry, geom2 geometry, double precision DEFAULT '-1'::integer",double precision,SECURITY INVOKER
st_fromflatgeobuf,"anyelement, bytea",SETOF anyelement,SECURITY INVOKER
st_fromflatgeobuftotable,"text, text, bytea",void,SECURITY INVOKER
st_generatepoints,"area geometry, npoints integer",geometry,SECURITY INVOKER
st_generatepoints,"area geometry, npoints integer, seed integer",geometry,SECURITY INVOKER
st_geogfromtext,text,geography,SECURITY INVOKER
st_geogfromwkb,bytea,geography,SECURITY INVOKER
st_geographyfromtext,text,geography,SECURITY INVOKER
st_geohash,"geom geometry, maxchars integer DEFAULT 0",text,SECURITY INVOKER
st_geohash,"geog geography, maxchars integer DEFAULT 0",text,SECURITY INVOKER
st_geomcollfromtext,"text, integer",geometry,SECURITY INVOKER
st_geomcollfromtext,text,geometry,SECURITY INVOKER
st_geomcollfromwkb,bytea,geometry,SECURITY INVOKER
st_geomcollfromwkb,"bytea, integer",geometry,SECURITY INVOKER
st_geometricmedian,"g geometry, tolerance double precision DEFAULT NULL::double precision, max_iter integer DEFAULT 10000, fail_if_not_converged boolean DEFAULT false",geometry,SECURITY INVOKER
st_geometryfromtext,text,geometry,SECURITY INVOKER
st_geometryfromtext,"text, integer",geometry,SECURITY INVOKER
st_geometryn,"geometry, integer",geometry,SECURITY INVOKER
st_geometrytype,geometry,text,SECURITY INVOKER
st_geomfromewkb,bytea,geometry,SECURITY INVOKER
st_geomfromewkt,text,geometry,SECURITY INVOKER
st_geomfromgeohash,"text, integer DEFAULT NULL::integer",geometry,SECURITY INVOKER
st_geomfromgeojson,jsonb,geometry,SECURITY INVOKER
st_geomfromgeojson,text,geometry,SECURITY INVOKER
st_geomfromgeojson,json,geometry,SECURITY INVOKER
st_geomfromgml,text,geometry,SECURITY INVOKER
st_geomfromgml,"text, integer",geometry,SECURITY INVOKER
st_geomfromkml,text,geometry,SECURITY INVOKER
st_geomfrommarc21,marc21xml text,geometry,SECURITY INVOKER
st_geomfromtext,"text, integer",geometry,SECURITY INVOKER
st_geomfromtext,text,geometry,SECURITY INVOKER
st_geomfromtwkb,bytea,geometry,SECURITY INVOKER
st_geomfromwkb,bytea,geometry,SECURITY INVOKER
st_geomfromwkb,"bytea, integer",geometry,SECURITY INVOKER
st_gmltosql,text,geometry,SECURITY INVOKER
st_gmltosql,"text, integer",geometry,SECURITY INVOKER
st_hasarc,geometry geometry,boolean,SECURITY INVOKER
st_hausdorffdistance,"geom1 geometry, geom2 geometry, double precision",double precision,SECURITY INVOKER
st_hausdorffdistance,"geom1 geometry, geom2 geometry",double precision,SECURITY INVOKER
st_hexagon,"size double precision, cell_i integer, cell_j integer, origin geometry DEFAULT '010100000000000000000000000000000000000000'::geometry",geometry,SECURITY INVOKER
st_hexagongrid,"size double precision, bounds geometry, OUT geom geometry, OUT i integer, OUT j integer",SETOF record,SECURITY INVOKER
st_interiorringn,"geometry, integer",geometry,SECURITY INVOKER
st_interpolatepoint,"line geometry, point geometry",double precision,SECURITY INVOKER
st_intersection,"geography, geography",geography,SECURITY INVOKER
st_intersection,"geom1 geometry, geom2 geometry, gridsize double precision DEFAULT '-1'::integer",geometry,SECURITY INVOKER
st_intersection,"text, text",geometry,SECURITY INVOKER
st_intersects,"geog1 geography, geog2 geography",boolean,SECURITY INVOKER
st_intersects,"geom1 geometry, geom2 geometry",boolean,SECURITY INVOKER
st_intersects,"text, text",boolean,SECURITY INVOKER
st_isclosed,geometry,boolean,SECURITY INVOKER
st_iscollection,geometry,boolean,SECURITY INVOKER
st_isempty,geometry,boolean,SECURITY INVOKER
st_ispolygonccw,geometry,boolean,SECURITY INVOKER
st_ispolygoncw,geometry,boolean,SECURITY INVOKER
st_isring,geometry,boolean,SECURITY INVOKER
st_issimple,geometry,boolean,SECURITY INVOKER
st_isvalid,geometry,boolean,SECURITY INVOKER
st_isvalid,"geometry, integer",boolean,SECURITY INVOKER
st_isvaliddetail,"geom geometry, flags integer DEFAULT 0",valid_detail,SECURITY INVOKER
st_isvalidreason,"geometry, integer",text,SECURITY INVOKER
st_isvalidreason,geometry,text,SECURITY INVOKER
st_isvalidtrajectory,geometry,boolean,SECURITY INVOKER
st_length,geometry,double precision,SECURITY INVOKER
st_length,"geog geography, use_spheroid boolean DEFAULT true",double precision,SECURITY INVOKER
st_length,text,double precision,SECURITY INVOKER
st_length2d,geometry,double precision,SECURITY INVOKER
st_length2dspheroid,"geometry, spheroid",double precision,SECURITY INVOKER
st_lengthspheroid,"geometry, spheroid",double precision,SECURITY INVOKER
st_letters,"letters text, font json DEFAULT NULL::json",geometry,SECURITY INVOKER
st_linecrossingdirection,"line1 geometry, line2 geometry",integer,SECURITY INVOKER
st_linefromencodedpolyline,"txtin text, nprecision integer DEFAULT 5",geometry,SECURITY INVOKER
st_linefrommultipoint,geometry,geometry,SECURITY INVOKER
st_linefromtext,text,geometry,SECURITY INVOKER
st_linefromtext,"text, integer",geometry,SECURITY INVOKER
st_linefromwkb,bytea,geometry,SECURITY INVOKER
st_linefromwkb,"bytea, integer",geometry,SECURITY INVOKER
st_lineinterpolatepoint,"geometry, double precision",geometry,SECURITY INVOKER
st_lineinterpolatepoints,"geometry, double precision, repeat boolean DEFAULT true",geometry,SECURITY INVOKER
st_linelocatepoint,"geom1 geometry, geom2 geometry",double precision,SECURITY INVOKER
st_linemerge,geometry,geometry,SECURITY INVOKER
st_linemerge,"geometry, boolean",geometry,SECURITY INVOKER
st_linestringfromwkb,"bytea, integer",geometry,SECURITY INVOKER
st_linestringfromwkb,bytea,geometry,SECURITY INVOKER
st_linesubstring,"geometry, double precision, double precision",geometry,SECURITY INVOKER
st_linetocurve,geometry geometry,geometry,SECURITY INVOKER
st_locatealong,"geometry geometry, measure double precision, leftrightoffset double precision DEFAULT 0.0",geometry,SECURITY INVOKER
st_locatebetween,"geometry geometry, frommeasure double precision, tomeasure double precision, leftrightoffset double precision DEFAULT 0.0",geometry,SECURITY INVOKER
st_locatebetweenelevations,"geometry geometry, fromelevation double precision, toelevation double precision",geometry,SECURITY INVOKER
st_longestline,"geom1 geometry, geom2 geometry",geometry,SECURITY INVOKER
st_m,geometry,double precision,SECURITY INVOKER
st_makebox2d,"geom1 geometry, geom2 geometry",box2d,SECURITY INVOKER
st_makeenvelope,"double precision, double precision, double precision, double precision, integer DEFAULT 0",geometry,SECURITY INVOKER
st_makeline,geometry[],geometry,SECURITY INVOKER
st_makeline,"geom1 geometry, geom2 geometry",geometry,SECURITY INVOKER
st_makepoint,"double precision, double precision, double precision",geometry,SECURITY INVOKER
st_makepoint,"double precision, double precision",geometry,SECURITY INVOKER
st_makepoint,"double precision, double precision, double precision, double precision",geometry,SECURITY INVOKER
st_makepointm,"double precision, double precision, double precision",geometry,SECURITY INVOKER
st_makepolygon,geometry,geometry,SECURITY INVOKER
st_makepolygon,"geometry, geometry[]",geometry,SECURITY INVOKER
st_makevalid,"geom geometry, params text",geometry,SECURITY INVOKER
st_makevalid,geometry,geometry,SECURITY INVOKER
st_maxdistance,"geom1 geometry, geom2 geometry",double precision,SECURITY INVOKER
st_maximuminscribedcircle,"geometry, OUT center geometry, OUT nearest geometry, OUT radius double precision",record,SECURITY INVOKER
st_memsize,geometry,integer,SECURITY INVOKER
st_minimumboundingcircle,"inputgeom geometry, segs_per_quarter integer DEFAULT 48",geometry,SECURITY INVOKER
st_minimumboundingradius,"geometry, OUT center geometry, OUT radius double precision",record,SECURITY INVOKER
st_minimumclearance,geometry,double precision,SECURITY INVOKER
st_minimumclearanceline,geometry,geometry,SECURITY INVOKER
st_mlinefromtext,"text, integer",geometry,SECURITY INVOKER
st_mlinefromtext,text,geometry,SECURITY INVOKER
st_mlinefromwkb,"bytea, integer",geometry,SECURITY INVOKER
st_mlinefromwkb,bytea,geometry,SECURITY INVOKER
st_mpointfromtext,"text, integer",geometry,SECURITY INVOKER
st_mpointfromtext,text,geometry,SECURITY INVOKER
st_mpointfromwkb,bytea,geometry,SECURITY INVOKER
st_mpointfromwkb,"bytea, integer",geometry,SECURITY INVOKER
st_mpolyfromtext,text,geometry,SECURITY INVOKER
st_mpolyfromtext,"text, integer",geometry,SECURITY INVOKER
st_mpolyfromwkb,bytea,geometry,SECURITY INVOKER
st_mpolyfromwkb,"bytea, integer",geometry,SECURITY INVOKER
st_multi,geometry,geometry,SECURITY INVOKER
st_multilinefromwkb,bytea,geometry,SECURITY INVOKER
st_multilinestringfromtext,text,geometry,SECURITY INVOKER
st_multilinestringfromtext,"text, integer",geometry,SECURITY INVOKER
st_multipointfromtext,text,geometry,SECURITY INVOKER
st_multipointfromwkb,"bytea, integer",geometry,SECURITY INVOKER
st_multipointfromwkb,bytea,geometry,SECURITY INVOKER
st_multipolyfromwkb,"bytea, integer",geometry,SECURITY INVOKER
st_multipolyfromwkb,bytea,geometry,SECURITY INVOKER
st_multipolygonfromtext,text,geometry,SECURITY INVOKER
st_multipolygonfromtext,"text, integer",geometry,SECURITY INVOKER
st_ndims,geometry,smallint,SECURITY INVOKER
st_node,g geometry,geometry,SECURITY INVOKER
st_normalize,geom geometry,geometry,SECURITY INVOKER
st_npoints,geometry,integer,SECURITY INVOKER
st_nrings,geometry,integer,SECURITY INVOKER
st_numgeometries,geometry,integer,SECURITY INVOKER
st_numinteriorring,geometry,integer,SECURITY INVOKER
st_numinteriorrings,geometry,integer,SECURITY INVOKER
st_numpatches,geometry,integer,SECURITY INVOKER
st_numpoints,geometry,integer,SECURITY INVOKER
st_offsetcurve,"line geometry, distance double precision, params text DEFAULT ''::text",geometry,SECURITY INVOKER
st_orderingequals,"geom1 geometry, geom2 geometry",boolean,SECURITY INVOKER
st_orientedenvelope,geometry,geometry,SECURITY INVOKER
st_overlaps,"geom1 geometry, geom2 geometry",boolean,SECURITY INVOKER
