source_table,source_column,target_table,target_column,constraint_name
markets,submitted_by,user_profiles,user_id,markets_submitted_by_fkey
markets,submitted_by_vendor_id,vendor_profiles,id,markets_submitted_by_vendor_id_fkey
markets,vendor_profile_id,vendor_profiles,id,markets_vendor_profile_id_fkey
notifications,vertical_id,verticals,vertical_id,notifications_vertical_id_fkey
order_items,listing_id,listings,id,order_items_listing_id_fkey
order_items,market_id,markets,id,order_items_market_id_fkey
order_items,offer_id,vendor_offers,id,order_items_offer_id_fkey
order_items,order_id,orders,id,order_items_order_id_fkey
order_items,schedule_id,market_schedules,id,order_items_schedule_id_fkey
order_items,vendor_profile_id,vendor_profiles,id,order_items_vendor_profile_id_fkey
order_items,wave_id,event_waves,id,order_items_wave_id_fkey
order_ratings,order_id,orders,id,order_ratings_order_id_fkey
order_ratings,vendor_profile_id,vendor_profiles,id,order_ratings_vendor_profile_id_fkey
orders,bundle_id,market_bundles,id,orders_bundle_id_fkey
orders,chipin_beneficiary_id,cause_beneficiaries,id,orders_chipin_beneficiary_id_fkey
orders,event_company_payment_id,event_company_payments,id,orders_event_company_payment_id_fkey
orders,event_wave_reservation_id,event_wave_reservations,id,orders_event_wave_reservation_id_fkey
orders,parent_order_id,orders,id,orders_parent_order_id_fkey
orders,vertical_id,verticals,vertical_id,orders_vertical_id_fkey
organizations,owner_user_id,user_profiles,id,organizations_owner_user_id_fkey
park_spot_bookings,agreement_acceptance_id,vendor_market_agreement_acceptances,id,park_spot_bookings_agreement_acceptance_id_fkey
park_spot_bookings,market_id,markets,id,park_spot_bookings_market_id_fkey
park_spot_bookings,spot_id,park_spots,id,park_spot_bookings_spot_id_fkey
park_spot_bookings,standing_reservation_id,park_standing_reservations,id,park_spot_bookings_standing_reservation_id_fkey
park_spot_bookings,vendor_profile_id,vendor_profiles,id,park_spot_bookings_vendor_profile_id_fkey
park_spots,market_id,markets,id,park_spots_market_id_fkey
park_standing_reservations,market_id,markets,id,park_standing_reservations_market_id_fkey
park_standing_reservations,spot_id,park_spots,id,park_standing_reservations_spot_id_fkey
park_standing_reservations,vendor_profile_id,vendor_profiles,id,park_standing_reservations_vendor_profile_id_fkey
park_vendor_vetting,market_id,markets,id,park_vendor_vetting_market_id_fkey
park_vendor_vetting,vendor_profile_id,vendor_profiles,id,park_vendor_vetting_vendor_profile_id_fkey
payments,order_id,orders,id,payments_order_id_fkey
public_activity_events,vertical_id,verticals,vertical_id,public_activity_events_vertical_id_fkey
rule_refusals,vertical_id,verticals,vertical_id,rule_refusals_vertical_id_fkey
shopper_feedback,vertical_id,verticals,vertical_id,shopper_feedback_vertical_id_fkey
support_tickets,vertical_id,verticals,vertical_id,support_tickets_vertical_id_fkey
transactions,buyer_user_id,user_profiles,id,transactions_buyer_user_id_fkey
transactions,listing_id,listings,id,transactions_listing_id_fkey
transactions,vendor_profile_id,vendor_profiles,id,transactions_vendor_profile_id_fkey
transactions,vertical_id,verticals,vertical_id,transactions_vertical_id_fkey
user_agreement_acceptances,vertical_id,verticals,vertical_id,user_agreement_acceptances_vertical_id_fkey
vendor_activity_flags,vendor_profile_id,vendor_profiles,id,vendor_activity_flags_vendor_profile_id_fkey
vendor_date_blackouts,market_id,markets,id,vendor_date_blackouts_market_id_fkey
vendor_date_blackouts,source_event_market_id,markets,id,vendor_date_blackouts_source_event_market_id_fkey
